MB_CODE16,lat,lon
"10015550000",-33.89127520,151.11760070
"10015560000",-33.89079770,151.11793860
"10015570000",-33.89309560,151.11747280
"10015580000",-33.89193750,151.11747740
"10015590000",-33.89206820,151.11847770
"10015600000",-33.89257910,151.11903700
"10015610000",-33.89256950,151.12015510
"10015620000",-33.89493910,151.12565760
"10015630000",-33.89389790,151.12648620
"10015640000",-33.89493910,151.12689690
"10015650000",-33.89707960,151.12563030
"10015660000",-33.89610970,151.12692980
"10015670000",-33.89714310,151.12684770
"10015700000",-33.89128410,151.13606170
"10015722000",-33.89135720,151.13774710
"10015732000",-33.89134670,151.13861950
"10015740000",-33.89032510,151.13600080
"10015751000",-33.89049090,151.13761540
"10015752000",-33.89120630,151.13692090
"10015760000",-33.89339880,151.14024090
"10015770000",-33.89322730,151.13949670
"10015781000",-33.89490180,151.14013900
"10015782000",-33.89486020,151.14115000
"10015811000",-33.89490560,151.13914260
"10015830000",-33.89259870,151.13709790
"10015840000",-33.89585990,151.13740330
"10015850000",-33.89486450,151.13717130
"10015860000",-33.89365910,151.13726390
"10015870000",-33.89586160,151.13425260
"10015890000",-33.89597900,151.13317590
"10015900000",-33.89612970,151.13361830
"10015910000",-33.89407000,151.13447210
"10015920000",-33.89436140,151.13328320
"10015930000",-33.89270360,151.13281200
"10015941000",-33.89271790,151.13446910
"10015942000",-33.89332600,151.13400900
"10015961000",-33.89196550,151.13406760
"10015962000",-33.89270360,151.13364230
"10015970000",-33.89184350,151.13591840
"10015992000",-33.89302700,151.13651390
"10016001000",-33.89210010,151.14138610
"10016002000",-33.89239730,151.14277360
"10016012000",-33.89357910,151.14118880
"10016020000",-33.89114030,151.13349040
"10016030000",-33.89105860,151.13284310
"10016040000",-33.89115750,151.13405490
"10016050000",-33.89029600,151.13317390
"10016070000",-33.88884870,151.13551980
"10016080000",-33.88886850,151.13494740
"10016090000",-33.89199510,151.14365460
"10016100000",-33.88845640,151.13703870
"10016110000",-33.88865260,151.13767090
"10016140000",-33.88918840,151.13840630
"10016151000",-33.88974810,151.13884900
"10016160000",-33.88931910,151.13930320
"10016180000",-33.88786480,151.13884720
"10016200000",-33.88879220,151.13995400
"10016210000",-33.88815020,151.13958280
"10016220000",-33.88876740,151.13911970
"10016230000",-33.88761560,151.14005640
"10016240000",-33.88736040,151.14090810
"10016250000",-33.88734100,151.13930530
"10016260000",-33.88657150,151.13866640
"10016280000",-33.88915400,151.14100160
"10016290000",-33.89008230,151.14149730
"10016300000",-33.89066260,151.14225360
"10016330000",-33.89118240,151.14341830
"10016342000",-33.88998970,151.14324140
"10016350000",-33.88944340,151.14249220
"10016360000",-33.88861910,151.14140540
"10016370000",-33.88738600,151.14309350
"10016390000",-33.88528790,151.14372060
"10016400000",-33.88664500,151.14204610
"10016411000",-33.88645830,151.14099650
"10016414000",-33.88851240,151.14247690
"10016415000",-33.88852040,151.14353850
"10016420000",-33.88409560,151.13940270
"10016430000",-33.88561550,151.13959230
"10016440000",-33.88217130,151.14298930
"10016450000",-33.87245180,151.14506580
"10016460000",-33.87316830,151.14671130
"10016470000",-33.87625910,151.14118450
"10016482000",-33.87484080,151.14181250
"10016490000",-33.87719620,151.14469490
"10016510000",-33.87503470,151.13663660
"10016520000",-33.87444360,151.13809160
"10016530000",-33.87611630,151.13790570
"10016540000",-33.87751630,151.13579610
"10016581000",-33.87833110,151.14118810
"10016582000",-33.87802600,151.13991870
"10016590000",-33.88010060,151.14056660
"10016600000",-33.88142700,151.14096850
"10016611000",-33.88090330,151.13950300
"10016640000",-33.87763030,151.14302420
"10016650000",-33.87682700,151.13222980
"10016661000",-33.87740610,151.13098320
"10016662000",-33.87590790,151.13106370
"10016670000",-33.87626590,151.13313390
"10016680000",-33.87580800,151.13422150
"10016690000",-33.87485200,151.13008170
"10016700000",-33.87334970,151.13176180
"10016710000",-33.88285760,151.14150330
"10016720000",-33.88385290,151.14314270
"10016740000",-33.88227490,151.13400920
"10016760000",-33.88189770,151.13581670
"10016770000",-33.88925650,151.12749590
"10016782000",-33.89053200,151.12900290
"10016801000",-33.88921130,151.12497700
"10016802000",-33.88839650,151.12496030
"10016811000",-33.88787530,151.12440030
"10016812000",-33.88777810,151.12348570
"10016820000",-33.88742740,151.12240650
"10016860000",-33.88824400,151.12867050
"10016870000",-33.88959820,151.12945580
"10016880000",-33.88906060,151.13020880
"10016891000",-33.87374470,151.12598770
"10016900000",-33.87271810,151.12348270
"10016911000",-33.87271850,151.12470790
"10016920000",-33.88843860,151.12083680
"10016931000",-33.88822160,151.12182230
"10016932000",-33.88852780,151.12256360
"10016952000",-33.88279630,151.11781260
"10016960000",-33.89463510,151.11481090
"10016970000",-33.89496880,151.11574360
"10016980000",-33.89489660,151.11637330
"10016990000",-33.88761640,151.11427200
"10017000000",-33.88850090,151.11450340
"10017010000",-33.89346760,151.11307080
"10017020000",-33.89202980,151.11319340
"10017030000",-33.88098080,151.12661500
"10017040000",-33.88032150,151.12596500
"10017050000",-33.87988850,151.12459720
"10017060000",-33.87417600,151.12682550
"10017070000",-33.89182110,151.13987440
"10017090000",-33.89281100,151.13028420
"10017100000",-33.87399840,151.12304370
"10017110000",-33.87391000,151.12183800
"10017120000",-33.89264320,151.12136480
"10017130000",-33.88627440,151.11491020
"10017140000",-33.84111750,151.05528690
"10017150000",-33.84170440,151.05360350
"10017160000",-33.84323970,151.05307380
"10017171000",-33.84892980,151.05157780
"10017172000",-33.84475030,151.04389910
"10017173000",-33.84597680,151.04672330
"10017174000",-33.84531820,151.04553480
"10017175000",-33.84369970,151.04522790
"10017176000",-33.84545920,151.04844130
"10017177000",-33.84684650,151.04837260
"10017180000",-33.86995700,151.03531350
"10017190000",-33.85683030,151.04036580
"10017200000",-33.85257290,151.03713490
"10017213000",-33.83572820,151.06955450
"10017220000",-33.83658290,151.05719860
"10017230000",-33.83695470,151.05657620
"10017240000",-33.83851540,151.05641300
"10017250000",-33.83839860,151.05565230
"10017262000",-33.84007320,151.03857860
"10017271000",-33.83848070,151.03834640
"10017272000",-33.83890880,151.03805150
"10017281000",-33.84077200,151.04418760
"10017282000",-33.84009690,151.04506320
"10017291000",-33.87089170,151.04178030
"10017292000",-33.87095240,151.04053670
"10017300000",-33.87252730,151.02700350
"10017310000",-33.86913910,151.03085990
"10017330000",-33.87517150,151.03133560
"10017340000",-33.88313920,151.03557330
"10017370000",-33.83824500,151.03957790
"10017380000",-33.86777820,151.02737990
"10017390000",-33.86634950,151.02824470
"10017400000",-33.86720000,151.03599900
"10017412000",-33.83981940,151.04255460
"10017420000",-33.86473120,151.03521810
"10017430000",-33.86517600,151.03379290
"10017440000",-33.85908390,151.03933290
"10017450000",-33.86327080,151.04670540
"10017460000",-33.87157740,151.02931230
"10017470000",-33.86909840,151.02956140
"10017480000",-33.87960620,151.02994670
"10017490000",-33.86544160,151.01565700
"10017502000",-33.83331250,151.05460510
"10017510000",-33.87048230,151.03091890
"10017520000",-33.86598510,151.03497690
"10017530000",-33.87043690,151.03166120
"10017550000",-33.86546700,151.03230310
"10017560000",-33.86446600,151.03249080
